Exercice,Branche,Code Produit,Désignation Produit,Sous-Branche,Date Survenance,Règlement
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/02/2020,22200.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/09/2014,22200.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,11/10/2022,32970.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/11/2020,22200.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,25/09/2019,32930.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/11/2011,22192.29
2020,Risques Industriels,MH,Multirisques Habitation,Risque simple,23/09/2019,5644.89
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/02/2015,22179.23
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/11/2023,22175.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/08/2011,22172.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/09/2020,22164.6
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/07/2022,22163.31
2020,Risques Industriels,MI,Multirisques Immeubles,Incendie,16/07/2020,22151.41
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/01/2019,22151.36
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,29/01/2017,22148.2
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/05/2016,22145.23
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,13/08/2021,22139.38
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/11/2020,22131.95
2014,Risques Industriels,VM,Vol De Marchandise,Risque simple,21/01/2013,5646.63
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/02/2015,22128.88
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/05/2018,22126.4
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/07/2014,22119.0
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,03/10/2021,22115.87
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/07/2018,22112.65
2017,Risques Industriels,MH,Multirisques Habitation,Risque simple,20/04/2016,36536.8
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/08/2013,22109.4
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/02/2014,22109.4
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/06/2015,22108.82
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/03/2022,22108.0
2018,Risques Industriels,IM,Incendie Risques Multisites,Incendie,17/11/2017,22101.33
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/06/2015,22100.0
2014,Risques Industriels,VM,Vol De Marchandise,Risque simple,14/06/2010,5650.51
2020,Risques Industriels,IM,Incendie Risques Multisites,Incendie,06/12/2018,22100.0
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,15/09/2016,22100.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/05/2023,22100.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/06/2015,22100.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/10/2022,22100.0
2020,Risques Industriels,IM,Incendie Risques Multisites,Incendie,26/02/2019,22098.15
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/10/2010,32928.0
2016,Risques Industriels,VM,Vol De Marchandise,Risque simple,19/03/2016,5653.14
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/12/2018,22089.67
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/06/2020,22084.22
2017,Risques Industriels,VM,Vol De Marchandise,Risque simple,23/04/2015,5653.6
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/12/2017,22080.0
2015,Risques Industriels,VM,Vol De Marchandise,Risque simple,08/02/2015,5655.08
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/09/2020,22078.5
2021,Risques Industriels,IM,Incendie Risques Multisites,Incendie,04/04/2021,22076.0
2018,Risques Industriels,VM,Vol De Marchandise,Risque simple,02/07/2015,5655.72
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/10/2022,22074.5
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,09/08/2021,22071.66
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,22/01/2023,22071.06
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/10/2016,22057.6
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/06/2020,22056.2
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/05/2011,32917.64
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/12/2016,22055.5
2017,Risques Industriels,MI,Multirisques Immeubles,Incendie,19/02/2017,22050.0
2018,Risques Industriels,MI,Multirisques Immeubles,Incendie,03/01/2018,22050.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/10/2016,22050.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/11/2012,22049.48
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/06/2017,22048.6
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/02/2016,22047.38
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,05/08/2017,22047.0
2017,Risques Industriels,MI,Multirisques Immeubles,Incendie,25/01/2017,22046.75
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/05/2019,22042.49
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,29/05/2016,22041.76
2016,Risques Industriels,VM,Vol De Marchandise,Risque simple,06/04/2016,5659.51
2020,Risques Industriels,IM,Incendie Risques Multisites,Incendie,12/11/2019,22040.0
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/11/2016,22040.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,16/02/2019,32912.51
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/05/2018,22040.0
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/12/2015,22040.0
2021,Risques Industriels,IM,Incendie Risques Multisites,Incendie,20/09/2021,22038.86
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,24/07/2023,32900.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/09/2021,22038.41
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,01/12/2022,22037.19
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,03/04/2014,22036.85
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,17/08/2022,32900.0
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,25/03/2013,32874.09
2019,Risques Industriels,IM,Incendie Risques Multisites,Incendie,11/10/2018,22026.17
2014,Risques Industriels,MH,Multirisques Habitation,Risque simple,23/02/2013,36315.0
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,29/01/2019,32860.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/05/2021,22019.41
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,09/08/2019,32844.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,04/09/2013,22017.69
2018,Risques Industriels,IM,Incendie Risques Multisites,Incendie,25/08/2017,22009.83
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/03/2013,22008.31
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/08/2015,22000.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,11/08/2021,32840.0
2018,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/07/2018,32831.93
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,09/09/2020,32825.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/08/2015,22000.0
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,25/10/2015,32823.4
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,09/08/2021,22000.0
2022,Risques Industriels,MI,Multirisques Immeubles,Incendie,28/07/2021,22000.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,27/07/2022,32814.33
2022,Risques Industriels,MH,Multirisques Habitation,Risque simple,05/05/2022,5665.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,29/10/2013,22000.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,15/05/2019,22000.0
2020,Risques Industriels,VM,Vol De Marchandise,Risque simple,30/04/2020,5666.0
2021,Risques Industriels,IM,Incendie Risques Multisites,Incendie,28/01/2021,22000.0
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,07/11/2013,32813.0
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,22/05/2023,22000.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,05/07/2019,22000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/10/2015,22000.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/09/2020,22000.0
2018,Risques Industriels,MI,Multirisques Immeubles,Incendie,15/03/2018,22000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/12/2014,22000.0
2021,Risques Industriels,IM,Incendie Risques Multisites,Incendie,09/12/2020,22000.0
2018,Risques Industriels,IM,Incendie Risques Multisites,Incendie,13/03/2018,22000.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,04/04/2017,22000.0
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,13/06/2021,22000.0
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/08/2018,22000.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,03/04/2022,22000.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/08/2021,22000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/10/2013,22000.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/11/2020,22000.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/08/2022,22000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/12/2014,22000.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/12/2015,22000.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/03/2017,22000.0
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,25/09/2022,22000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/02/2015,22000.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/08/2021,22000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/12/2014,22000.0
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,11/10/2022,22000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/10/2015,21997.48
2021,Risques Industriels,MP,Multirisques Professionnelles,Risque simple,31/12/2020,5670.0
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,13/01/2014,32800.0
2018,Risques Industriels,MP,Multirisques Professionnelles,Risque simple,04/03/2018,5670.52
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/05/2023,21995.21
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,28/07/2013,32800.0
2022,Risques Industriels,VM,Vol De Marchandise,Risque simple,01/02/2022,5670.87
2016,Risques Industriels,VM,Vol De Marchandise,Risque simple,07/10/2015,5671.14
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/02/2015,21995.14
2015,Risques Industriels,VM,Vol De Marchandise,Risque simple,24/12/2014,5672.13
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,29/09/2015,21990.5
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/12/2015,21987.54
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,19/02/2020,32800.0
2018,Risques Industriels,MH,Multirisques Habitation,Risque simple,03/11/2018,5672.9
2018,Risques Industriels,VM,Vol De Marchandise,Risque simple,08/11/2018,5673.48
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,03/03/2023,32800.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/02/2019,21987.46
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,15/12/2014,21986.64
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/06/2020,21986.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/11/2019,21982.98
2018,Risques Industriels,PE,Perte D'exploitation,Incendie,11/01/2017,21982.9
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/06/2011,21979.03
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/02/2021,21976.0
2017,Risques Industriels,IM,Incendie Risques Multisites,Incendie,28/02/2017,21970.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/09/2020,21968.93
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/08/2015,21949.01
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,20/08/2019,32800.0
2017,Risques Industriels,IM,Incendie Risques Multisites,Incendie,18/12/2016,21948.65
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/08/2020,21944.49
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/03/2021,21943.27
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/09/2020,21938.59
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,14/08/2023,32795.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,31/08/2017,21933.54
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,22/01/2021,32790.0
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,05/11/2021,21928.67
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,07/12/2020,32787.18
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,07/01/2020,21927.63
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/01/2021,21926.05
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,10/03/2021,32773.11
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,02/06/2021,32773.11
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,26/10/2018,21923.21
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,10/12/2022,21921.56
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/03/2015,21912.43
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,26/05/2014,21910.08
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,03/12/2013,21907.71
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,09/03/2016,32760.0
2017,Risques Industriels,PE,Perte D'exploitation,Incendie,02/04/2017,21905.7
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/12/2013,32760.0
2015,Risques Industriels,RG,RC Générale,Responsabilité Civile,06/10/2013,32760.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,24/04/2021,32725.0
2018,Risques Industriels,RG,RC Générale,Responsabilité Civile,10/04/2018,32725.0
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,22/10/2022,21901.89
2022,Risques Industriels,MP,Multirisques Professionnelles,Risque simple,07/05/2022,36138.75
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/09/2021,21900.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/09/2015,21900.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/07/2015,21892.24
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/10/2022,21890.0
2014,Risques Industriels,VM,Vol De Marchandise,Risque simple,23/03/2014,5682.36
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/10/2004,21885.86
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/09/2013,21880.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/05/2022,32725.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/04/2015,21880.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,20/05/2023,32725.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/05/2017,21875.75
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/09/2017,21870.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/03/2010,21868.56
2018,Risques Industriels,IM,Incendie Risques Multisites,Incendie,30/05/2018,21867.57
2021,Risques Industriels,IM,Incendie Risques Multisites,Incendie,02/10/2021,21859.79
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,28/05/2022,32725.0
2019,Risques Industriels,IM,Incendie Risques Multisites,Incendie,11/06/2017,21856.71
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,24/11/2015,21853.95
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/06/2017,21843.8
2016,Risques Industriels,VM,Vol De Marchandise,Risque simple,20/01/2016,5688.79
2020,Risques Industriels,BG,Bris De Glaces,Risque simple,24/08/2020,5688.93
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,01/05/2019,32718.13
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,21/08/2012,32700.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/09/2021,21843.67
2019,Risques Industriels,IM,Incendie Risques Multisites,Incendie,31/07/2018,21842.93
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,02/08/2022,32700.0
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,05/03/2023,21842.44
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/08/2014,21840.0
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,13/09/2023,21835.57
2015,Risques Industriels,VM,Vol De Marchandise,Risque simple,17/01/2012,5690.24
2016,Risques Industriels,VM,Vol De Marchandise,Risque simple,12/01/2016,5690.26
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/02/2018,21833.31
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,24/02/2019,32700.0
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/07/2015,32683.5
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/09/2014,21832.0
2018,Risques Industriels,MP,Multirisques Professionnelles,Risque simple,05/08/2018,36075.0
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/07/2022,32650.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,18/10/2021,21830.15
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/09/2020,21830.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,04/10/2018,21828.61
2020,Risques Industriels,MP,Multirisques Professionnelles,Risque simple,12/09/2019,5692.28
2015,Risques Industriels,VM,Vol De Marchandise,Risque simple,03/02/2013,5692.71
2019,Risques Industriels,MI,Multirisques Immeubles,Incendie,07/05/2018,21825.0
2015,Risques Industriels,VM,Vol De Marchandise,Risque simple,05/02/2013,5692.71
2016,Risques Industriels,VM,Vol De Marchandise,Risque simple,06/06/2016,5692.73
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/03/2017,21824.97
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/06/2019,21824.85
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,11/07/2023,32635.0
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/04/2016,21822.8
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/07/2022,21822.1
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/08/2010,21821.0
2014,Risques Industriels,VM,Vol De Marchandise,Risque simple,05/05/2013,5694.97
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/02/2015,21820.03
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/01/2010,21816.09
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/01/2015,21810.0
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,28/02/2019,32635.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/11/2013,21809.29
2018,Risques Industriels,IM,Incendie Risques Multisites,Incendie,21/12/2017,21806.85
2015,Risques Industriels,VM,Vol De Marchandise,Risque simple,14/11/2014,5699.19
2021,Risques Industriels,IM,Incendie Risques Multisites,Incendie,05/02/2020,21805.13
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,18/09/2014,32631.5
2016,Risques Industriels,MI,Multirisques Immeubles,Incendie,10/06/2013,21800.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/03/2021,21798.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,14/07/2018,32616.61
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,21/12/2021,32540.0
2020,Risques Industriels,MP,Multirisques Professionnelles,Risque simple,10/11/2019,5700.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/03/2021,32525.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,31/01/2023,32521.76
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,19/06/2016,21792.63
2021,Risques Industriels,MI,Multirisques Immeubles,Incendie,06/05/2021,21789.78
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,22/12/2022,32517.5
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,09/07/2020,21788.6
2015,Risques Industriels,MH,Multirisques Habitation,Risque simple,23/02/2015,5700.0
2017,Risques Industriels,MI,Multirisques Immeubles,Incendie,25/03/2014,21786.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/06/2023,32500.0
2017,Risques Industriels,RG,RC Générale,Responsabilité Civile,02/09/2012,32500.0
2016,Risques Industriels,IS,Incendie Risques Simples,Incendie,03/04/2016,5700.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,06/09/2023,21785.8
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,05/09/2015,32500.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,19/12/2020,32500.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,05/02/2023,32500.0
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/06/2016,32500.0
2020,Risques Industriels,MI,Multirisques Immeubles,Incendie,28/01/2018,21780.0
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/06/2022,21780.0
2020,Risques Industriels,IM,Incendie Risques Multisites,Incendie,08/06/2019,21779.92
2016,Risques Industriels,MH,Multirisques Habitation,Risque simple,01/06/2014,36000.0
2017,Risques Industriels,IM,Incendie Risques Multisites,Incendie,07/02/2017,21778.62
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,09/12/2021,21778.14
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/05/2023,21775.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/05/2020,21774.93
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,17/02/2023,21772.78
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/10/2019,21772.48
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,11/03/2013,32500.0
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,24/01/2016,32495.0
2021,Risques Industriels,RP,RC Professionnelle,Responsabilité Civile,02/11/2020,5703.13
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,14/12/2021,32460.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/05/2018,21770.67
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/05/2019,21766.49
2017,Risques Industriels,VM,Vol De Marchandise,Risque simple,07/03/2015,5704.16
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/09/2018,21765.42
2022,Risques Industriels,IM,Incendie Risques Multisites,Incendie,09/08/2021,21761.86
2017,Risques Industriels,MH,Multirisques Habitation,Risque simple,03/09/2017,5705.37
2014,Risques Industriels,RG,RC Générale,Responsabilité Civile,15/03/2014,32444.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/10/2013,21760.0
2022,Risques Industriels,RG,RC Générale,Responsabilité Civile,12/06/2022,32412.61
2019,Risques Industriels,VM,Vol De Marchandise,Risque simple,01/12/2017,5706.54
2015,Risques Industriels,RG,RC Générale,Responsabilité Civile,18/04/2010,32412.0
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/10/2016,21756.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,27/05/2023,32400.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,05/11/2022,32400.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,30/05/2023,32400.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,08/10/2014,21754.39
2020,Risques Industriels,MI,Multirisques Immeubles,Incendie,31/12/2014,21754.0
2019,Risques Industriels,RG,RC Générale,Responsabilité Civile,05/12/2018,32400.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/03/2019,21750.77
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/09/2016,21750.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,07/06/2014,21748.61
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/04/2023,21748.6
2018,Risques Industriels,RG,RC Générale,Responsabilité Civile,27/09/2016,32400.0
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/11/2018,21740.0
2016,Risques Industriels,MH,Multirisques Habitation,Risque simple,26/03/2016,5710.65
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/07/2016,21739.2
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/02/2015,21732.0
2019,Risques Industriels,IM,Incendie Risques Multisites,Incendie,16/08/2018,21727.81
2020,Risques Industriels,IM,Incendie Risques Multisites,Incendie,01/01/2020,21727.0
2021,Risques Industriels,RG,RC Générale,Responsabilité Civile,26/06/2021,32400.0
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/04/2017,21721.83
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,08/12/2019,32385.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/03/2021,21720.0
2017,Risques Industriels,VM,Vol De Marchandise,Risque simple,20/03/2017,5711.67
2017,Risques Industriels,MI,Multirisques Immeubles,Incendie,08/05/2017,21720.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,22/01/2017,21718.38
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/11/2020,21718.08
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,16/07/2023,32385.0
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,11/11/2016,21713.03
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/03/2019,21705.98
2020,Risques Industriels,RP,RC Professionnelle,Responsabilité Civile,01/12/2020,5713.63
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,30/11/2017,21702.6
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,26/07/2022,21700.0
2020,Risques Industriels,IM,Incendie Risques Multisites,Incendie,04/02/2020,21699.66
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,13/03/2015,21690.81
2019,Risques Industriels,VM,Vol De Marchandise,Risque simple,16/12/2018,5714.23
2017,Risques Industriels,MI,Multirisques Immeubles,Incendie,21/10/2017,21690.0
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,09/12/2020,21689.91
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,15/11/2018,21689.18
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,16/04/2021,21688.41
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,29/07/2018,21685.49
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,28/10/2015,21684.49
2020,Risques Industriels,IM,Incendie Risques Multisites,Incendie,29/04/2020,21675.86
